province,model,bodyType,month,isSpringFestival,sales12MonthAgo,sales11MonthAgo,sales10MonthAgo,sales9MonthAgo,sales8MonthAgo,sales7MonthAgo,sales6MonthAgo,sales5MonthAgo,sales4MonthAgo,sales3MonthAgo,sales2MonthAgo,sales1MonthAgo,averageSales2Month,averageSales3Month,firstOrderTrend1,firstOrderTrend2,secondOrderTrend
1,1,1,1,0,305,193,309,264,241,251,240,298,308,270.0,286.0,312.0,299.0,289.0,26.0,16.0,10.0
2,1,1,1,0,434,194,302,243,321,230,362,323,306,298.0,333.0,331.0,332.0,321.0,-2.0,35.0,-37.0
3,1,1,1,0,180,128,201,176,192,155,199,170,176,134.0,180.0,173.0,176.0,162.0,-7.0,46.0,-53.0
4,1,1,1,0,468,432,472,340,407,314,302,310,293,226.0,297.0,275.0,286.0,266.0,-22.0,71.0,-93.0
5,1,1,1,0,500,253,378,337,331,336,304,330,449,303.0,332.0,456.0,394.0,364.0,124.0,29.0,95.0
6,1,1,1,0,198,76,132,155,144,166,155,166,192,153.0,158.0,204.0,181.0,172.0,46.0,5.0,41.0
7,1,1,1,0,468,290,412,484,450,432,449,413,563,371.0,467.0,471.0,469.0,436.0,4.0,96.0,-92.0
8,1,1,1,0,248,146,249,182,251,173,213,197,239,166.0,188.0,200.0,194.0,185.0,12.0,22.0,-10.0
9,1,1,1,0,2692,1680,2958,2368,2754,2696,2582,2782,2822,2740.0,2953.0,2821.0,2887.0,2838.0,-132.0,213.0,-345.0
10,1,1,1,0,425,248,383,277,377,293,309,331,402,304.0,307.0,371.0,339.0,327.0,64.0,3.0,61.0
11,1,1,1,0,800,486,817,617,720,689,718,682,759,664.0,694.0,799.0,746.0,719.0,105.0,30.0,75.0
12,1,1,1,0,236,78,191,154,186,149,156,168,164,152.0,189.0,181.0,185.0,174.0,-8.0,37.0,-45.0
13,1,1,1,0,260,190,297,311,328,293,325,352,363,288.0,305.0,349.0,327.0,314.0,44.0,17.0,27.0
14,1,1,1,0,405,250,355,393,307,297,380,309,344,274.0,282.0,369.0,326.0,308.0,87.0,8.0,79.0
15,1,1,1,0,633,409,621,561,562,591,624,669,649,620.0,676.0,853.0,764.0,716.0,177.0,56.0,121.0
16,1,1,1,0,497,228,445,423,403,455,424,361,409,246.0,307.0,502.0,404.0,352.0,195.0,61.0,134.0
17,1,1,1,0,347,174,297,304,284,259,316,280,304,238.0,308.0,369.0,338.0,305.0,61.0,70.0,-9.0
18,1,1,1,0,292,181,307,209,324,299,311,316,288,299.0,291.0,308.0,300.0,299.0,17.0,-8.0,25.0
19,1,1,1,0,650,566,775,692,738,626,805,715,744,592.0,725.0,795.0,760.0,704.0,70.0,133.0,-63.0
20,1,1,1,0,115,72,126,107,119,138,135,104,119,88.0,116.0,131.0,124.0,112.0,15.0,28.0,-13.0
21,1,1,1,0,305,219,295,292,328,285,305,307,293,289.0,342.0,332.0,337.0,321.0,-10.0,53.0,-63.0
22,1,1,1,0,292,234,401,305,324,284,313,335,248,234.0,302.0,325.0,314.0,287.0,23.0,68.0,-45.0
